"","Qty_Small","Qty_Medium","Qty_Large","Price_Small","Price_Medium","Price_Large","Qty_Cake","Qty_Choc","Price_Cake","Price_Choc","Qty_Penalty","Profit"
"115",20,18,9,5,7,10,1,1,10,3,50,329
"116",26,6,14,5,7,10,3,6,10,3,50,360
"117",24,16,5,5,7,10,1,7,10,3,50,313
"118",17,17,8,5,7,10,1,5,10,3,50,309
"119",16,24,11,5,7,10,2,5,10,3,50,353.7
"120",16,14,7,5,7,10,2,3,10,3,50,277
"121",15,12,8,5,7,10,2,5,10,3,50,274
"122",19,15,13,5,7,10,2,4,10,3,50,362
"123",23,11,11,5,7,10,5,5,10,3,50,367
"124",26,16,10,5,7,10,3,4,10,3,50,345.6
"125",25,7,8,5,7,10,1,3,10,3,50,273
"126",16,14,7,5,7,10,4,7,10,3,50,309
"127",16,27,10,5,7,10,2,7,10,3,50,369
"128",25,16,11,5,7,10,3,4,10,3,50,350.1
"129",18,19,11,5,7,10,2,5,10,3,50,368
"130",16,13,11,5,7,10,2,3,10,3,50,310
"131",22,16,7,5,7,10,7,5,10,3,50,377
"132",33,17,10,5,7,10,5,2,10,3,50,396
"133",23,14,16,5,7,10,1,4,10,3,50,355.5
"134",16,14,10,5,7,10,0,5,10,3,50,293
"135",14,13,6,5,7,10,4,5,10,3,50,276
"136",13,8,17,5,7,10,1,3,10,3,50,310
"137",19,20,12,5,7,10,2,8,10,3,50,359.1
"138",25,13,13,5,7,10,4,4,10,3,50,358.2
"139",21,19,12,5,7,10,2,5,10,3,50,353.7
"140",23,19,14,5,7,10,1,5,10,3,50,371.7
"141",19,10,5,5,7,10,1,4,10,3,50,237
"142",21,22,9,5,7,10,4,4,10,3,50,360.9
"143",22,14,4,5,7,10,2,10,10,3,50,298
"144",20,15,7,5,7,10,1,3,10,3,50,294
"145",18,11,11,5,7,10,5,3,10,3,50,336
"146",26,12,14,5,7,10,1,4,10,3,50,338.4
"147",21,14,9,5,7,10,2,6,10,3,50,331
"148",20,16,6,5,7,10,2,3,10,3,50,301
"149",12,17,5,5,7,10,2,3,10,3,50,258
"150",19,17,14,5,7,10,4,4,10,3,50,406
"151",24,14,9,5,7,10,1,3,10,3,50,327
"152",16,22,9,5,7,10,3,9,10,3,50,381
"153",24,11,7,5,7,10,1,4,10,3,50,289
"154",14,11,13,5,7,10,2,2,10,3,50,303
"155",15,17,7,5,7,10,6,6,10,3,50,342
"156",19,9,6,5,7,10,2,3,10,3,50,247
"157",19,14,8,5,7,10,0,5,10,3,50,288
"158",20,9,13,5,7,10,4,5,10,3,50,348
"159",23,16,6,5,7,10,1,4,10,3,50,309
"160",29,8,7,5,7,10,1,7,10,3,50,302
"161",24,10,7,5,7,10,3,3,10,3,50,299
"162",27,16,11,5,7,10,3,10,10,3,50,375.3
"163",17,12,11,5,7,10,0,4,10,3,50,291
"164",28,18,11,5,7,10,1,2,10,3,50,352.8
"165",23,8,7,5,7,10,1,10,10,3,50,281
"166",21,18,7,5,7,10,4,6,10,3,50,359
"167",23,17,6,5,7,10,1,2,10,3,50,310
"168",16,18,12,5,7,10,4,7,10,3,50,387
"169",21,12,9,5,7,10,2,3,10,3,50,308
"170",23,11,8,5,7,10,2,4,10,3,50,304
"171",23,21,7,5,7,10,1,4,10,3,50,318.6
"172",23,16,12,5,7,10,3,5,10,3,50,352.8
"173",22,19,9,5,7,10,2,8,10,3,50,377
"174",22,17,9,5,7,10,0,2,10,3,50,325
"175",23,7,10,5,7,10,2,3,10,3,50,293
"176",19,21,11,5,7,10,2,6,10,3,50,351
"177",21,20,11,5,7,10,5,4,10,3,50,375.3
"178",17,15,11,5,7,10,2,10,10,3,50,350
"179",23,22,5,5,7,10,1,7,10,3,50,350
"180",15,14,8,5,7,10,1,3,10,3,50,272
"181",23,16,12,5,7,10,4,4,10,3,50,359.1
"182",22,12,10,5,7,10,3,3,10,3,50,333
"183",13,18,7,5,7,10,4,8,10,3,50,325
"184",17,13,15,5,7,10,0,7,10,3,50,347
"185",21,19,9,5,7,10,1,7,10,3,50,359
"186",17,17,10,5,7,10,2,2,10,3,50,330
"187",24,10,7,5,7,10,3,7,10,3,50,311
"188",21,18,7,5,7,10,1,7,10,3,50,332
"189",14,15,7,5,7,10,1,9,10,3,50,282
"190",14,9,10,5,7,10,4,5,10,3,50,288
"191",16,16,4,5,7,10,0,4,10,3,50,244
"192",27,12,12,5,7,10,1,6,10,3,50,330.3
"193",28,12,7,5,7,10,4,0,10,3,50,334
"194",18,15,11,5,7,10,1,4,10,3,50,327
"195",25,6,10,5,7,10,2,4,10,3,50,299
"196",18,14,11,5,7,10,1,5,10,3,50,323
"197",23,20,9,5,7,10,2,3,10,3,50,336.6
"198",19,15,6,5,7,10,3,4,10,3,50,302
"199",23,16,17,5,7,10,4,4,10,3,50,404.1
"200",23,10,9,5,7,10,4,2,10,3,50,321
"201",15,15,15,5,7,10,4,3,10,3,50,379
"202",21,13,8,5,7,10,0,3,10,3,50,285
"203",17,9,9,5,7,10,3,3,10,3,50,277
"204",18,19,11,5,7,10,5,4,10,3,50,395
"205",20,15,6,5,7,10,0,4,10,3,50,277
"206",21,20,9,5,7,10,2,8,10,3,50,379
"207",24,12,9,5,7,10,1,5,10,3,50,319
"208",23,18,9,5,7,10,1,4,10,3,50,353
"209",24,15,6,5,7,10,4,3,10,3,50,334
"210",25,18,6,5,7,10,2,5,10,3,50,346
"211",28,17,6,5,7,10,2,0,10,3,50,305.1
"212",22,28,7,5,7,10,2,5,10,3,50,369.9
"213",15,13,11,5,7,10,5,3,10,3,50,335
"214",29,13,8,5,7,10,3,7,10,3,50,367
"215",17,19,11,5,7,10,0,5,10,3,50,343
"216",25,14,8,5,7,10,2,5,10,3,50,338
"217",22,17,11,5,7,10,1,4,10,3,50,361
"218",15,13,10,5,7,10,1,5,10,3,50,291
"219",15,13,9,5,7,10,3,5,10,3,50,301
"220",18,19,11,5,7,10,1,10,10,3,50,373
"221",15,13,11,5,7,10,3,4,10,3,50,318
"222",31,15,13,5,7,10,3,4,10,3,50,388.8
"223",23,17,10,5,7,10,1,3,10,3,50,353
"224",27,13,15,5,7,10,4,6,10,3,50,390.6
"225",15,23,4,5,7,10,3,3,10,3,50,315
"226",18,14,8,5,7,10,1,3,10,3,50,287
"227",19,17,14,5,7,10,4,6,10,3,50,412
"228",19,18,6,5,7,10,5,5,10,3,50,346
"229",20,10,9,5,7,10,1,2,10,3,50,276
"230",24,8,10,5,7,10,1,2,10,3,50,292
"231",21,15,15,5,7,10,1,2,10,3,50,338.4
"232",19,13,9,5,7,10,3,3,10,3,50,315
"233",17,24,10,5,7,10,0,2,10,3,50,323.1
"234",22,11,10,5,7,10,2,6,10,3,50,325
"235",20,13,15,5,7,10,4,1,10,3,50,384
"236",17,16,10,5,7,10,1,6,10,3,50,325
"237",22,16,12,5,7,10,2,6,10,3,50,380
"238",19,18,8,5,7,10,4,4,10,3,50,353
"239",25,17,10,5,7,10,2,6,10,3,50,343.8
"240",18,17,5,5,7,10,3,5,10,3,50,304
"241",14,16,9,5,7,10,2,1,10,3,50,295
"242",17,11,8,5,7,10,5,1,10,3,50,295
"243",19,15,6,5,7,10,4,7,10,3,50,321
"244",19,16,10,5,7,10,1,3,10,3,50,326
"245",14,19,15,5,7,10,1,8,10,3,50,387
"246",21,18,6,5,7,10,1,4,10,3,50,313
"247",23,19,18,5,7,10,1,3,10,3,50,402.3
"248",22,14,6,5,7,10,4,3,10,3,50,317
"249",24,20,10,5,7,10,2,5,10,3,50,355.5
"250",17,12,8,5,7,10,3,6,10,3,50,297
"251",23,13,9,5,7,10,2,7,10,3,50,337
"252",15,19,9,5,7,10,4,8,10,3,50,362
"253",14,13,9,5,7,10,0,5,10,3,50,266
"254",21,17,8,5,7,10,4,4,10,3,50,356
"255",23,17,7,5,7,10,1,4,10,3,50,326
"256",16,14,9,5,7,10,1,4,10,3,50,290
"257",21,14,8,5,7,10,1,9,10,3,50,320
"258",22,16,11,5,7,10,2,5,10,3,50,367
"259",17,17,11,5,7,10,1,9,10,3,50,351
"260",16,16,11,5,7,10,4,4,10,3,50,354
"261",20,13,17,5,7,10,1,3,10,3,50,380
"262",18,23,14,5,7,10,2,4,10,3,50,380.7
"263",25,14,8,5,7,10,7,5,10,3,50,388
"264",17,21,13,5,7,10,3,4,10,3,50,363.6
"265",21,14,23,5,7,10,1,7,10,3,50,417.6
"266",24,16,7,5,7,10,0,3,10,3,50,311
"267",19,13,12,5,7,10,2,6,10,3,50,344
"268",28,11,8,5,7,10,3,5,10,3,50,342
"269",17,17,6,5,7,10,2,1,10,3,50,287
"270",22,15,12,5,7,10,3,2,10,3,50,371
"271",16,11,10,5,7,10,0,0,10,3,50,257
"272",23,15,7,5,7,10,3,7,10,3,50,341
"273",20,15,11,5,7,10,1,5,10,3,50,340
"274",19,11,8,5,7,10,2,3,10,3,50,281
"275",13,6,10,5,7,10,4,5,10,3,50,262
"276",19,12,14,5,7,10,1,8,10,3,50,353
"277",26,17,6,5,7,10,4,6,10,3,50,367
"278",20,18,10,5,7,10,3,7,10,3,50,377
"279",23,11,10,5,7,10,5,5,10,3,50,357
"280",20,21,14,5,7,10,3,6,10,3,50,391.5
"281",14,11,16,5,7,10,3,6,10,3,50,355
"282",18,20,11,5,7,10,2,1,10,3,50,363
"283",28,12,10,5,7,10,0,4,10,3,50,336
"284",19,18,15,5,7,10,3,3,10,3,50,369
"285",22,17,11,5,7,10,2,7,10,3,50,380
"286",28,14,4,5,7,10,3,2,10,3,50,314
"287",27,19,7,5,7,10,3,4,10,3,50,342
"288",24,12,9,5,7,10,3,3,10,3,50,333
"289",24,10,8,5,7,10,3,4,10,3,50,312
"290",18,10,9,5,7,10,0,4,10,3,50,262
"291",27,14,7,5,7,10,3,1,10,3,50,336
"292",27,16,8,5,7,10,4,4,10,3,50,341.1
"293",21,18,11,5,7,10,7,3,10,3,50,420
"294",16,14,13,5,7,10,4,4,10,3,50,360
"295",23,17,13,5,7,10,2,4,10,3,50,356.4
"296",12,20,11,5,7,10,1,4,10,3,50,332
"297",31,15,7,5,7,10,2,4,10,3,50,325.8
"298",20,11,14,5,7,10,1,6,10,3,50,345
"299",22,11,12,5,7,10,1,3,10,3,50,326
"300",18,17,8,5,7,10,1,5,10,3,50,314
"301",18,18,8,5,7,10,2,3,10,3,50,325
"302",14,9,9,5,7,10,2,6,10,3,50,261
"303",25,19,12,5,7,10,2,4,10,3,50,369
"304",19,13,10,5,7,10,4,3,10,3,50,335
"305",23,7,10,5,7,10,0,3,10,3,50,273
"306",17,15,12,5,7,10,5,4,10,3,50,372
"307",19,16,8,5,7,10,1,5,10,3,50,312
"308",22,14,6,5,7,10,2,2,10,3,50,294
"309",17,17,7,5,7,10,3,4,10,3,50,316
"310",20,13,10,5,7,10,1,4,10,3,50,313
"311",28,19,13,5,7,10,3,8,10,3,50,411.3
"312",19,20,8,5,7,10,1,3,10,3,50,334
"313",24,11,7,5,7,10,1,4,10,3,50,289
"314",17,16,9,5,7,10,3,5,10,3,50,332
"315",24,19,12,5,7,10,3,3,10,3,50,370.8
"316",21,14,8,5,7,10,3,6,10,3,50,331
"317",15,18,11,5,7,10,2,5,10,3,50,346
"318",15,13,7,5,7,10,0,2,10,3,50,242
"319",17,18,12,5,7,10,3,5,10,3,50,376
"320",19,20,11,5,7,10,2,6,10,3,50,383
"321",18,7,6,5,7,10,1,4,10,3,50,221
"322",16,12,9,5,7,10,1,8,10,3,50,288
"323",13,22,9,5,7,10,3,4,10,3,50,351
"324",20,15,10,5,7,10,3,2,10,3,50,341
"325",17,13,8,5,7,10,3,9,10,3,50,313
"326",18,16,12,5,7,10,4,4,10,3,50,374
"327",21,16,12,5,7,10,1,1,10,3,50,350
"328",23,15,8,5,7,10,6,6,10,3,50,378
"329",14,10,9,5,7,10,3,6,10,3,50,278
"330",26,14,9,5,7,10,3,5,10,3,50,363
"331",14,17,12,5,7,10,3,5,10,3,50,354
"332",11,22,7,5,7,10,0,5,10,3,50,294
"333",22,16,9,5,7,10,1,3,10,3,50,331
"334",21,10,10,5,7,10,2,6,10,3,50,313
"335",12,14,7,5,7,10,3,3,10,3,50,267
"336",22,13,8,5,7,10,4,1,10,3,50,324
"337",21,14,11,5,7,10,2,4,10,3,50,345
"338",12,8,10,5,7,10,2,9,10,3,50,263
"339",20,14,13,5,7,10,3,7,10,3,50,379
"340",13,11,9,5,7,10,3,7,10,3,50,283
"341",16,25,11,5,7,10,1,4,10,3,50,348.3
"342",10,12,12,5,7,10,4,3,10,3,50,303
"343",18,11,10,5,7,10,4,5,10,3,50,322
"344",18,19,8,5,7,10,6,6,10,3,50,381
"345",22,20,5,5,7,10,3,3,10,3,50,339
"346",16,11,11,5,7,10,3,3,10,3,50,306
"347",19,14,10,5,7,10,3,9,10,3,50,350
"348",30,22,5,5,7,10,1,5,10,3,50,341.1
"349",20,10,8,5,7,10,2,5,10,3,50,285
"350",29,18,9,5,7,10,1,2,10,3,50,339.3
"351",23,12,15,5,7,10,3,6,10,3,50,397
"352",14,12,14,5,7,10,2,3,10,3,50,323
"353",23,15,15,5,7,10,4,4,10,3,50,379.8
"354",20,10,8,5,7,10,3,7,10,3,50,301
"355",25,16,14,5,7,10,3,8,10,3,50,387.9
"356",29,15,7,5,7,10,0,4,10,3,50,298.8
"357",21,12,9,5,7,10,1,7,10,3,50,310
"358",28,16,15,5,7,10,2,6,10,3,50,396
"359",17,8,7,5,7,10,2,7,10,3,50,252
"360",18,13,9,5,7,10,3,8,10,3,50,325
"361",22,13,12,5,7,10,3,4,10,3,50,363
"362",22,16,8,5,7,10,5,5,10,3,50,367
"363",24,13,11,5,7,10,1,3,10,3,50,340
"364",30,10,12,5,7,10,2,5,10,3,50,337.5
"365",16,13,15,5,7,10,2,2,10,3,50,347
